Site no.,Country,Survey year,Latitude,Longitude,Altitude,Inclination,Mangement type,Grazing intensity,vegetation height,Soil depth,Topsoil pH,Subsoil pH,Topsoil Al,Topsoil Ca,Topsoil Fe ,Topsoil Mg,Topsoil Mn,Topsoil Zn,Topsoil NO3,Topsoil NH4,Topsoil Olsen P,Topsoil C,Topsoil N,Agrostis P,Agrostis N,Agrostis C,Galium P,Galium N,Galium C,Rhytidiadelphus P,Rhytidiadelphus N,Rhytidiadelphus C
BE715,Belgium,2007,5.594,50.9525,89,0,1,0,23,8,4.97,5.14,63.27,88.32,9.82,18.32,2.73,3.32,0,48.05,12.74,0.21,3.64,0.95,14.78,459.64,1.44,16.81,458.24,0.8,12.9,475.16
BE716,Belgium,2007,5.453,50.9519,44,0,1,0,13,60,5.28,5.7,19.07,205.49,5.34,32.76,2.6,5.78,0.27,26.08,19.12,0.19,3.59,2.35,17.77,470.28,,,,1.29,11.49,469.78
NW717,Norway,2007,6.501,58.2389,5,12,0,2,18,42,5.19,5.23,80.69,137.18,0.78,114.74,2.68,2.37,5.88,112.27,10.33,0.89,13.46,0.97,10.58,446.22,,,,0.54,7.12,500.42
NW718,Norway,2007,6.53,58.2367,40,5,0,1,30,15,4.6,4.72,165.22,191.17,2.72,101.46,11.19,4.84,171.95,86.88,19.66,1.17,13.93,1.4,9.42,458.99,2.72,23.66,517.71,1.66,9.85,481.57
NW719,Norway,2007,6.307,58.3473,27,9,0,2,13,18,4.81,5.2,40.4,149.03,3.61,90.73,26.23,2.4,117.16,91.82,10.68,0.5,6.07,2.45,11.39,456.77,,,,2.23,14.11,477.25
NW720,Norway,2007,5.89,58.7004,260,17,0,1,15,13,4.44,4.42,140.74,243.94,8.89,117.73,4.33,5.29,152.11,150.85,27.37,1.17,19.09,1.39,13.38,472.01,3.52,33.06,502.02,2.63,13.68,475.76
NW721,Norway,2007,5.776,59.4085,103,15,0,2,13,15,5.11,4.85,47.66,803.9,11.04,171.81,36.6,3.47,25.51,244.79,14.84,0.49,6.86,1.36,17.91,471.76,4.15,36.85,487.76,1.9,19.28,467.17
NW722,Norway,2007,5.742,60.1579,171,13,0,1,40,13,4.49,4.7,89.6,200.18,20.52,129.72,7.94,2.32,18.46,101.03,37.37,0.59,8.61,1.56,7.95,466.7,2.39,24.02,499.35,1.84,12.77,468.91
NW723,Norway,2007,5.5,60.325,273,3,0,1,35,60,4.43,4.87,225.56,108.66,31.09,81.55,1.53,1.29,3.66,146.86,19.52,1.44,22.89,1.07,7.69,462.24,,,,1.62,8.71,489.29
NW724,Norway,2007,5.102,60.6976,30,7,0,1,20,22,4.6,4.73,113.63,77.08,29.69,45.66,6.37,1.84,0.46,49.6,24.97,0.45,7.43,2.24,12.64,470.86,3.68,23.78,489.56,1.94,9.46,476.56
NW725,Norway,2007,7.129,60.5046,530,29,0,1,30,44,4.45,4.61,132.75,51.82,1.97,34.8,50.35,3.68,123.53,36.64,15.59,0.49,5.91,1.22,12.34,461.33,3.11,33.64,502.7,1.51,15.21,470.91
FR701,France,2007,0.184,45.0486,73,0,1,0,30,60,5.55,5.52,19.13,160.86,0.53,26.28,10.34,0.58,1.42,12.02,18.8,2.442,0.203,6.87,13.43,431.9,,,,,,
FR702,France,2007,0.194,45.1528,110,4,0,1,40,60,5.72,5.67,5.77,96.38,0,18.04,10.04,0.51,52.53,17.22,15.61,1.228,0.138,2.01,16.22,428.7,,,,,,
FR703,France,2007,-0.816,44.6536,55,0,1,0,20,60,5.11,4.86,9.92,126.54,0.42,35.89,1.79,2.75,31.63,19.27,7.85,3.564,0.23,1.19,18.72,446.1,,,,,,
FR704,France,2007,-1.104,44.5986,9,0,1,0,20,60,5.69,6.14,2.25,197.98,0.21,32.92,3.77,0.73,4.86,13.9,7.3,3.141,0.204,,,,,,,,,
FR705,France,2007,-0.597,44.7039,53,0,1,0,40,20,4.83,4.93,35.2,137.07,1.1,21.27,1.44,0.64,2.78,6.63,4.67,3.399,0.222,1.16,16.92,442.6,,,,,,
FR706,France,2007,-1.403,43.3497,99,5,1,0,20,50,5.39,5.34,51.81,52.16,0,19.79,1.92,1.06,0,43.37,3.98,5.109,0.347,,,,,,,0.81,9.34,432.9
FR707,France,2007,-1.377,43.3172,242,20,1,0,20,40,4.84,4.72,85.5,29.46,0.05,18.1,9.54,0.8,0,22.45,14.89,5.072,0.31,,,,,,,1.16,13.39,373.7
FR708,France,2007,-1.28,43.3781,82,35,1,0,10,40,5.12,5.01,61.54,115.87,0,43.9,28.86,0.62,0,40.78,25.88,2.857,0.182,1.46,13.41,427.9,,,,0.81,7.18,435.3
FR709,France,2007,-1.267,43.305,279,30,1,0,25,30,4.72,4.76,84.27,31.11,0.2,20.53,4.66,0.6,0.11,56.07,15.1,5.887,0.317,,,,,,,1.03,12,419.9
FR710,France,2007,-1.259,43.3119,248,15,0,1,30,30,4.84,4.96,102.45,14.91,0.16,16.34,24.44,0.78,0,34.22,21.48,4.359,0.248,1.73,17.22,432.7,,,,,,
FR711,France,2007,-1.228,43.3031,236,30,0,2,20,25,5.19,5.01,57.49,39.15,0,22.15,44,0.47,0,11.55,31.88,2.948,0.18,1.46,16.65,432.6,,,,1.54,14.63,425.5
FR712,France,2007,1.43,46.0169,590,5,0,2,20,45,5.27,5.42,92.77,59.92,0.71,16.99,8.05,2,31.07,29.1,22.59,9.668,0.723,1.96,17.58,431.8,2.59,21.48,459,1.14,10.92,427.1
FR713,France,2007,1.44,46.0319,586,2,0,2,15,30,5.37,5.71,81.46,157.54,0.53,36.27,11.67,2.32,5.44,31.3,18.21,7.865,0.577,1.8,15.25,425.6,,,,,,
FR714,France,2007,1.859,45.8292,607,5,1,0,20,60,5.25,5.8,60.38,92.18,0.81,36.23,16.97,2.58,53.14,40.92,12.87,9.098,0.7,1.23,15.06,417.5,1.81,21.68,458.8,,,
FR715,France,2007,1.923,45.9172,614,5,0,2,5,30,5.57,6.06,83.13,117.52,0.53,19.84,9.47,1.36,1.46,33.25,14.89,7.957,0.571,2.93,27.77,420.5,,,,1.29,8.92,442.4
FR716,France,2007,7.403,49.0264,300,3,1,0,20,40,5.21,4.63,14.06,91.84,0.01,10.98,7.93,1.44,82.51,38.38,9.91,1.948,0.16,3.46,23.22,433.4,,,,1.14,10.1,419.9
FR717,France,2007,7.477,49.0372,249,0,1,0,10,50,5.02,5.24,19.59,60.68,0.13,9.77,9.17,1.69,33.09,40.52,12.47,2.717,0.201,2.05,18.89,433.2,,,,2.15,13.79,426.8
FR718,France,2007,7.453,49.0594,325,0,1,0,20,50,5.27,5.47,26.3,14.37,0.4,4.06,2.13,0.93,111.85,50.02,8.47,2.743,0.19,1.83,22.03,438.2,,,,,,
FR719,France,2007,7.615,49.0219,232,3,0,1,20,50,5.61,5.89,8.92,91.26,0.06,16.01,19.23,1.94,55.9,23.5,14.03,2.554,0.203,2.9,20.02,433.5,,,,1.24,10.36,449.7
FR720,France,2007,7.592,49.045,179,5,0,2,20,30,5.35,5.43,9.81,83.48,0.01,15.18,23.81,1.28,61.63,39.09,13.91,1.865,0.164,2.59,18.98,430.5,,,,,,
FR721,France,2007,-1.507,48.2864,99,0,1,0,20,50,5.36,4.96,44.17,39.99,0,13.8,28.5,0.22,8.59,9.33,13.68,1.203,0.095,1.36,13.07,437.9,,,,,,
FR722,France,2007,-2.236,48.0069,163,7,1,0,20,33,5.05,5.03,142.14,22.32,3.81,9.42,2.64,0.48,30.26,10.08,24.33,5.16,0.393,0.73,10.54,446.6,1.23,18.09,461.2,,,
FR723,France,2007,-1.89,47.9931,75,3,0,1,20,23,5.36,5.19,54.83,21.12,1.6,8.38,1.21,0.26,2.51,8.15,15.57,3.672,0.324,0.87,9.83,445.3,,,,,,
FR724,France,2007,-1.471,48.2856,59,0,1,0,20,30,5.34,5.27,55.34,38.18,4.77,12.24,3.69,0.83,8.39,19.69,14.72,3.011,0.217,0.74,11.3,447.2,,,,,,
FR725,France,2007,-3.8733,48.4156,375,0,1,0,15,20,4.83,5.18,148.08,29.01,4.91,33.38,0.48,0.94,0.87,33.75,10.31,12.85,0.842,1.47,13.9,449,,,,,,
